date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:55	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Nov%202021%2005:56:55%20GMT	http://120.26.82.151:8082/robots.txt		(from )
13:56:56	35865/35865	---M--	200	added ('OK')	text/html	etag:W/%22917684-35865-2021-02-24T00:42:35.856Z%22	http://120.26.82.151:8082/	D:/sitecopy/Pass/120.26.82.151_8082/index.html	(from )
13:56:56	1634/1634	---MCZ	200	added ('OK')	text/css	etag:W/%2261860c63-662%22	https://smaco2.uestc.edu.cn/css/chunk-07a4c74b.808757e2.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-07a4c74b.808757e2.css	(from http://120.26.82.151:8082/)
13:56:56	3068/3068	---MCZ	200	added ('OK')	text/css	etag:W/%2261860c63-bfc%22	https://smaco2.uestc.edu.cn/css/chunk-15d1757e.a4bb7668.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-15d1757e.a4bb7668.css	(from http://120.26.82.151:8082/)
13:56:56	186/186	---M--	200	added ('OK')	text/css	etag:%2261860c63-ba%22	https://smaco2.uestc.edu.cn/css/chunk-1a8cf038.70774aa0.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-1a8cf038.70774aa0.css	(from http://120.26.82.151:8082/)
13:56:56	1634/1634	---MCZ	200	added ('OK')	text/css	etag:W/%2261860c63-662%22	https://smaco2.uestc.edu.cn/css/chunk-1cf506c1.808757e2.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-1cf506c1.808757e2.css	(from http://120.26.82.151:8082/)
13:56:56	1634/1634	---MCZ	200	added ('OK')	text/css	etag:W/%2261860c63-662%22	https://smaco2.uestc.edu.cn/css/chunk-4448a677.808757e2.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-4448a677.808757e2.css	(from http://120.26.82.151:8082/)
13:56:57	186/186	---M--	200	added ('OK')	text/css	etag:%2261860c63-ba%22	https://smaco2.uestc.edu.cn/css/chunk-63d843c2.70774aa0.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-63d843c2.70774aa0.css	(from http://120.26.82.151:8082/)
13:56:57	1634/1634	---MCZ	200	added ('OK')	text/css	etag:W/%2261860c63-662%22	https://smaco2.uestc.edu.cn/css/chunk-6b407fd0.808757e2.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-6b407fd0.808757e2.css	(from http://120.26.82.151:8082/)
13:56:57	1634/1634	---MCZ	200	added ('OK')	text/css	etag:W/%2261860c63-662%22	https://smaco2.uestc.edu.cn/css/chunk-8ddf060c.808757e2.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-8ddf060c.808757e2.css	(from http://120.26.82.151:8082/)
13:56:57	223/223	---M--	200	added ('OK')	text/css	etag:W/%22918048-223-2021-02-24T00:42:36.820Z%22	http://120.26.82.151:8082/_files/chunk-b2496998.ca4f56d8.css	D:/sitecopy/Pass/120.26.82.151_8082/_files/chunk-b2496998.ca4f56d8.css	(from http://120.26.82.151:8082/)
13:56:58	1634/1634	---MCZ	200	added ('OK')	text/css	etag:W/%2261860c63-662%22	https://smaco2.uestc.edu.cn/css/chunk-b48739f8.808757e2.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-b48739f8.808757e2.css	(from http://120.26.82.151:8082/)
13:56:58	1634/1634	---MCZ	200	added ('OK')	text/css	etag:W/%2261860c63-662%22	https://smaco2.uestc.edu.cn/css/chunk-c8046b5e.808757e2.css	D:/sitecopy/Pass/smaco2.uestc.edu.cn/css/chunk-c8046b5e.808757e2.css	(from http://120.26.82.151:8082/)
